devolucion_id,linea_pedido_id,fecha_devolucion,motivo
60,1326,2022-06-27,ya_no_lo_necesita
61,1327,2023-03-25,articulo_incorrecto
62,1328,2023-03-23,articulo_incorrecto
63,1340,2021-06-05,no_es_como_se_describe
64,1359,2023-06-17,defectuoso
65,1363,2022-12-11,ya_no_lo_necesita
66,1444,2023-03-01,articulo_incorrecto
67,1499,2022-09-17,ya_no_lo_necesita
68,1525,2023-11-08,no_es_como_se_describe
69,1557,2022-04-07,no_es_como_se_describe
70,1562,2023-07-15,defectuoso
71,1585,2023-03-05,defectuoso
72,1592,2023-10-30,articulo_incorrecto
73,1601,2023-12-28,ya_no_lo_necesita
74,1623,2023-09-05,articulo_incorrecto
75,1655,2023-09-17,articulo_incorrecto
76,1685,2023-03-05,ya_no_lo_necesita
77,1700,2022-05-14,no_es_como_se_describe
78,1738,2021-08-13,articulo_incorrecto
79,1740,2021-08-11,ya_no_lo_necesita
80,1787,2022-10-07,defectuoso
81,1827,2022-06-10,ya_no_lo_necesita
82,1831,2021-11-04,ya_no_lo_necesita
83,1836,2023-12-08,no_es_como_se_describe
84,1855,2023-06-19,defectuoso
85,1951,2023-06-13,articulo_incorrecto
86,2010,2023-10-24,no_es_como_se_describe
87,2033,2022-12-02,articulo_incorrecto
88,2055,2023-08-17,ya_no_lo_necesita
89,2067,2022-09-29,ya_no_lo_necesita
90,2075,2023-12-23,ya_no_lo_necesita
91,2109,2023-09-04,no_es_como_se_describe
92,2123,2023-11-22,no_es_como_se_describe
93,2130,2023-06-22,no_es_como_se_describe
94,2157,2022-10-29,ya_no_lo_necesita
95,2173,2023-07-30,articulo_incorrecto
96,2251,2023-02-26,articulo_incorrecto
97,2276,2022-12-24,ya_no_lo_necesita
98,2277,2022-12-27,ya_no_lo_necesita
99,2413,2023-08-04,articulo_incorrecto
100,2441,2022-10-13,ya_no_lo_necesita
101,2453,2023-07-02,ya_no_lo_necesita
102,2513,2023-07-26,articulo_incorrecto
103,2516,2023-03-14,articulo_incorrecto
104,2557,2022-06-24,ya_no_lo_necesita
105,2569,2023-08-04,articulo_incorrecto
106,2570,2023-08-06,defectuoso
107,2640,2023-11-25,defectuoso
108,2670,2023-10-26,no_es_como_se_describe
109,2700,2022-09-26,defectuoso
110,2704,2022-05-05,ya_no_lo_necesita
111,2719,2023-07-02,articulo_incorrecto
112,2753,2023-01-05,no_es_como_se_describe
113,2777,2023-12-13,defectuoso
114,2792,2021-12-07,articulo_incorrecto
115,2795,2022-04-17,ya_no_lo_necesita
116,2797,2022-04-22,ya_no_lo_necesita
117,2846,2023-09-23,no_es_como_se_describe
118,2862,2023-09-24,articulo_incorrecto
119,2877,2023-12-08,no_es_como_se_describe
120,2882,2023-10-09,articulo_incorrecto
121,2917,2024-01-09,ya_no_lo_necesita
122,2925,2023-07-22,no_es_como_se_describe
123,2963,2022-08-28,ya_no_lo_necesita
124,2985,2023-09-18,articulo_incorrecto
125,3090,2023-06-25,articulo_incorrecto
126,3093,2022-12-21,no_es_como_se_describe
127,3131,2023-07-31,no_es_como_se_describe
128,3140,2023-12-12,articulo_incorrecto
129,3145,2022-03-03,no_es_como_se_describe
130,3223,2024-01-02,no_es_como_se_describe
131,3264,2023-07-07,articulo_incorrecto
132,3297,2022-07-16,no_es_como_se_describe
133,3317,2021-06-01,defectuoso
134,3328,2022-05-19,articulo_incorrecto
135,3329,2024-01-07,ya_no_lo_necesita
136,3340,2023-05-23,ya_no_lo_necesita
137,3341,2023-05-21,ya_no_lo_necesita
138,3348,2021-11-17,articulo_incorrecto
139,3366,2023-10-08,no_es_como_se_describe
140,3394,2022-11-07,defectuoso
141,3447,2023-06-15,ya_no_lo_necesita
142,3498,2023-02-05,articulo_incorrecto
143,3551,2023-08-29,defectuoso
144,3579,2022-08-13,ya_no_lo_necesita
145,3581,2023-02-21,ya_no_lo_necesita
146,3604,2023-03-17,no_es_como_se_describe
147,3641,2023-12-22,defectuoso
148,3643,2023-12-19,ya_no_lo_necesita
149,3672,2022-07-26,defectuoso
150,3680,2023-06-24,defectuoso
151,3764,2023-08-10,ya_no_lo_necesita
152,3785,2022-03-10,no_es_como_se_describe
153,3788,2022-04-20,articulo_incorrecto
154,3823,2023-10-02,defectuoso
155,3839,2023-09-21,ya_no_lo_necesita
156,3860,2023-02-13,no_es_como_se_describe
157,3866,2024-01-01,ya_no_lo_necesita
158,3880,2023-11-21,no_es_como_se_describe
159,3950,2023-09-21,defectuoso
160,4007,2023-07-16,no_es_como_se_describe
161,4028,2023-12-15,ya_no_lo_necesita
162,4032,2023-09-24,articulo_incorrecto
163,4213,2023-06-18,defectuoso
164,4223,2023-10-19,defectuoso
165,4253,2022-04-29,ya_no_lo_necesita
166,4277,2023-05-14,ya_no_lo_necesita
167,4308,2023-06-30,no_es_como_se_describe
168,4334,2023-08-22,defectuoso
169,4389,2022-07-26,no_es_como_se_describe
170,4395,2022-12-10,articulo_incorrecto
171,4412,2023-12-03,no_es_como_se_describe
172,4440,2023-09-07,ya_no_lo_necesita
173,4482,2022-08-11,ya_no_lo_necesita
174,4486,2022-01-31,defectuoso
175,4504,2023-05-05,defectuoso
176,4525,2023-06-02,defectuoso
177,4526,2023-06-09,articulo_incorrecto
178,4539,2023-01-06,ya_no_lo_necesita
179,4558,2022-09-23,defectuoso
180,4598,2023-04-01,articulo_incorrecto
181,4669,2022-02-10,no_es_como_se_describe
182,4693,2023-05-25,articulo_incorrecto
183,4717,2022-05-14,ya_no_lo_necesita
184,4789,2023-03-12,ya_no_lo_necesita
185,4792,2023-05-17,ya_no_lo_necesita
186,4818,2022-03-12,articulo_incorrecto
187,4833,2021-04-18,articulo_incorrecto
188,4840,2023-05-12,no_es_como_se_describe
189,4862,2022-12-26,ya_no_lo_necesita
190,4918,2022-01-14,ya_no_lo_necesita
191,4957,2023-11-02,ya_no_lo_necesita
192,4958,2023-10-27,ya_no_lo_necesita
193,4966,2023-09-22,defectuoso
194,5003,2023-05-28,no_es_como_se_describe
195,5072,2023-10-12,defectuoso
196,5086,2022-12-20,articulo_incorrecto
197,5114,2023-07-02,no_es_como_se_describe
198,5134,2023-08-08,defectuoso
199,5167,2023-11-30,articulo_incorrecto
200,5169,2023-11-05,ya_no_lo_necesita
201,5177,2023-01-05,defectuoso
202,5185,2024-01-07,defectuoso
203,5205,2024-01-06,defectuoso
204,5233,2023-05-28,defectuoso
205,5248,2022-12-15,no_es_como_se_describe
206,5281,2022-12-24,no_es_como_se_describe
207,5297,2023-10-02,articulo_incorrecto
208,5307,2023-07-30,no_es_como_se_describe
209,5312,2023-04-04,ya_no_lo_necesita
210,5323,2023-10-31,no_es_como_se_describe
211,5343,2023-04-26,ya_no_lo_necesita
212,5389,2023-05-14,ya_no_lo_necesita
213,5393,2023-05-01,defectuoso
214,5433,2023-01-27,articulo_incorrecto
215,5468,2021-12-27,ya_no_lo_necesita
216,5477,2022-11-17,defectuoso
217,5502,2022-12-13,ya_no_lo_necesita
218,5531,2022-01-04,defectuoso
219,5533,2022-09-26,defectuoso
220,5537,2023-05-03,defectuoso
221,5540,2023-12-16,defectuoso
222,5611,2022-12-17,ya_no_lo_necesita
223,5624,2023-05-15,defectuoso
224,5637,2023-02-05,ya_no_lo_necesita
225,5641,2022-10-17,articulo_incorrecto
226,5660,2023-09-16,articulo_incorrecto
227,5689,2023-11-10,defectuoso
228,5707,2023-07-28,ya_no_lo_necesita
229,5713,2022-08-06,defectuoso
230,5714,2022-08-12,articulo_incorrecto
231,5761,2023-02-13,no_es_como_se_describe
232,5776,2022-10-13,articulo_incorrecto
233,5783,2023-04-11,articulo_incorrecto
234,5839,2023-05-17,articulo_incorrecto
235,5848,2023-02-23,defectuoso
236,5853,2023-11-25,no_es_como_se_describe
237,5864,2022-08-04,articulo_incorrecto
238,5866,2023-09-06,ya_no_lo_necesita
239,5868,2023-09-07,no_es_como_se_describe
240,5869,2023-06-02,articulo_incorrecto
241,5951,2021-05-16,defectuoso
242,5968,2023-10-12,articulo_incorrecto
243,6000,2023-04-01,defectuoso
244,6021,2023-10-27,defectuoso
245,6054,2023-09-05,ya_no_lo_necesita
246,6065,2023-07-15,articulo_incorrecto
247,6157,2023-05-16,no_es_como_se_describe
248,6178,2021-08-28,ya_no_lo_necesita
249,6182,2022-07-16,articulo_incorrecto
250,6237,2023-11-17,defectuoso
251,6272,2023-02-26,ya_no_lo_necesita
252,6310,2023-12-13,articulo_incorrecto
253,6342,2023-07-20,ya_no_lo_necesita
254,6357,2023-09-07,articulo_incorrecto
255,6379,2023-07-27,no_es_como_se_describe
256,6405,2022-05-15,articulo_incorrecto
257,6412,2023-04-06,no_es_como_se_describe
258,6414,2023-04-03,defectuoso
259,6424,2023-01-10,defectuoso
260,6440,2023-09-10,no_es_como_se_describe
261,6458,2023-04-07,articulo_incorrecto
262,6493,2022-01-26,ya_no_lo_necesita
263,6494,2023-03-19,no_es_como_se_describe
264,6515,2022-05-02,defectuoso
265,6554,2022-09-02,articulo_incorrecto
266,6556,2022-07-07,defectuoso
267,6557,2022-07-04,articulo_incorrecto
268,6562,2023-04-22,ya_no_lo_necesita
269,6583,2022-12-24,ya_no_lo_necesita
270,6604,2023-07-13,no_es_como_se_describe
271,6626,2023-08-30,defectuoso
272,6630,2023-12-04,defectuoso
273,6636,2023-05-07,defectuoso
274,6662,2023-07-26,articulo_incorrecto
275,6664,2023-08-03,defectuoso
276,6668,2023-02-25,no_es_como_se_describe
277,6695,2023-06-05,defectuoso
278,6756,2021-07-10,ya_no_lo_necesita
279,6761,2023-08-20,ya_no_lo_necesita
280,6817,2021-10-09,ya_no_lo_necesita
281,6836,2023-02-16,ya_no_lo_necesita
282,6879,2023-01-12,defectuoso
283,6951,2023-10-27,no_es_como_se_describe
284,6954,2023-03-06,defectuoso
285,6962,2022-06-17,ya_no_lo_necesita
286,6991,2023-12-29,defectuoso
287,7021,2022-01-24,no_es_como_se_describe
288,7033,2021-01-21,articulo_incorrecto
289,7035,2021-01-17,ya_no_lo_necesita
290,7068,2023-11-22,no_es_como_se_describe
291,7084,2023-06-30,articulo_incorrecto
292,7090,2023-10-01,ya_no_lo_necesita
293,7104,2023-05-29,articulo_incorrecto
294,7109,2023-05-24,ya_no_lo_necesita
295,7125,2023-04-14,ya_no_lo_necesita
296,7188,2023-11-25,no_es_como_se_describe
297,7249,2022-10-18,ya_no_lo_necesita
298,7259,2023-03-23,no_es_como_se_describe
299,7272,2023-11-18,no_es_como_se_describe
300,7280,2023-01-27,no_es_como_se_describe
301,7344,2023-12-13,articulo_incorrecto
302,7372,2022-11-18,ya_no_lo_necesita
303,7376,2023-10-03,articulo_incorrecto
304,7417,2023-07-18,articulo_incorrecto
305,7423,2023-05-14,defectuoso
306,7448,2023-01-23,articulo_incorrecto
307,7451,2023-01-16,ya_no_lo_necesita
308,7511,2022-08-19,ya_no_lo_necesita
309,7567,2023-11-17,ya_no_lo_necesita
310,7598,2023-04-23,defectuoso
311,7604,2023-03-16,ya_no_lo_necesita
312,7620,2022-10-14,ya_no_lo_necesita
313,7646,2022-06-18,articulo_incorrecto
314,7654,2022-05-30,articulo_incorrecto
315,7663,2023-04-30,ya_no_lo_necesita
316,7689,2023-06-06,no_es_como_se_describe
317,7695,2023-09-26,no_es_como_se_describe
318,7759,2021-08-16,no_es_como_se_describe
319,7780,2023-10-28,ya_no_lo_necesita
320,7797,2023-10-11,ya_no_lo_necesita
321,7807,2022-06-14,defectuoso
322,7909,2023-06-29,articulo_incorrecto
323,7913,2022-11-17,defectuoso
324,7959,2022-08-12,articulo_incorrecto
325,8008,2021-10-12,articulo_incorrecto
326,8038,2023-01-27,ya_no_lo_necesita
327,8057,2023-08-22,no_es_como_se_describe
328,8067,2023-08-17,defectuoso
329,8069,2023-03-20,no_es_como_se_describe
330,8074,2023-06-02,defectuoso
331,8082,2023-08-31,no_es_como_se_describe
332,8107,2022-04-20,ya_no_lo_necesita
333,8109,2022-04-13,articulo_incorrecto
334,8114,2022-11-13,articulo_incorrecto
335,8139,2023-04-22,articulo_incorrecto
336,8143,2021-12-30,no_es_como_se_describe
337,8184,2023-02-20,articulo_incorrecto
338,8213,2023-08-01,articulo_incorrecto
339,8238,2023-11-04,defectuoso
340,8284,2023-02-03,ya_no_lo_necesita
341,8289,2023-04-15,articulo_incorrecto
342,8325,2022-07-04,ya_no_lo_necesita
343,8342,2023-02-24,defectuoso
344,8351,2023-03-10,no_es_como_se_describe
345,8379,2023-06-01,articulo_incorrecto
346,8392,2023-06-17,defectuoso
347,8398,2023-08-02,ya_no_lo_necesita
348,8429,2023-01-01,no_es_como_se_describe
349,8459,2023-08-18,ya_no_lo_necesita
350,8500,2022-03-16,no_es_como_se_describe
351,8503,2023-12-29,ya_no_lo_necesita
352,8550,2023-06-28,defectuoso
353,8551,2023-06-28,defectuoso
354,8552,2023-06-28,ya_no_lo_necesita
355,8566,2023-05-27,ya_no_lo_necesita
356,8582,2023-06-29,articulo_incorrecto
357,8634,2022-07-27,ya_no_lo_necesita
358,8653,2023-10-02,ya_no_lo_necesita
359,8688,2022-11-19,articulo_incorrecto
360,8708,2022-02-21,defectuoso
361,8764,2023-11-17,no_es_como_se_describe
362,8770,2023-03-24,defectuoso
363,8812,2021-11-27,ya_no_lo_necesita
364,8844,2023-12-08,defectuoso
365,8984,2023-02-20,articulo_incorrecto
366,9040,2023-06-13,ya_no_lo_necesita
367,9054,2023-11-23,no_es_como_se_describe
368,9067,2022-12-28,no_es_como_se_describe
369,9071,2022-11-30,defectuoso
370,9083,2023-07-15,articulo_incorrecto
371,9087,2023-07-27,ya_no_lo_necesita
372,9161,2023-09-04,no_es_como_se_describe
373,9167,2023-09-01,articulo_incorrecto
374,9180,2023-07-07,articulo_incorrecto
375,9193,2023-06-08,ya_no_lo_necesita
376,9276,2021-04-23,defectuoso
377,9291,2023-06-26,no_es_como_se_describe
378,9328,2023-08-12,ya_no_lo_necesita
379,9381,2021-06-25,ya_no_lo_necesita
380,9508,2023-04-17,no_es_como_se_describe
381,9522,2023-11-10,articulo_incorrecto
382,9558,2021-09-30,articulo_incorrecto
383,9634,2023-11-24,ya_no_lo_necesita
384,9675,2023-07-07,articulo_incorrecto
385,9693,2023-11-26,no_es_como_se_describe
386,9714,2023-04-21,articulo_incorrecto
387,9737,2022-06-27,no_es_como_se_describe
388,9738,2023-08-19,articulo_incorrecto
389,9816,2023-10-01,no_es_como_se_describe
390,9872,2023-06-24,ya_no_lo_necesita
391,9891,2023-04-18,articulo_incorrecto
392,9929,2023-09-25,no_es_como_se_describe
393,9933,2022-11-23,no_es_como_se_describe
394,9996,2023-08-12,articulo_incorrecto
395,10004,2023-09-04,articulo_incorrecto
396,10030,2023-06-01,articulo_incorrecto
397,10069,2023-04-05,ya_no_lo_necesita
398,10105,2023-01-17,defectuoso
399,10126,2023-07-09,no_es_como_se_describe
400,10165,2023-10-04,ya_no_lo_necesita
401,10166,2023-04-03,defectuoso
402,10188,2023-08-11,articulo_incorrecto
403,10217,2022-11-13,ya_no_lo_necesita
404,10284,2022-10-24,ya_no_lo_necesita
405,10321,2023-11-15,defectuoso
406,10388,2022-11-11,ya_no_lo_necesita
407,10408,2023-05-26,ya_no_lo_necesita
408,10453,2022-04-13,articulo_incorrecto
409,10497,2023-03-31,articulo_incorrecto
410,10504,2023-05-01,ya_no_lo_necesita
411,10610,2023-08-07,articulo_incorrecto
412,10639,2023-07-16,defectuoso
413,10647,2022-11-25,defectuoso
414,10659,2023-04-16,ya_no_lo_necesita
415,10667,2021-05-14,defectuoso
416,10700,2023-12-25,articulo_incorrecto
417,10825,2023-06-23,defectuoso
418,10872,2023-10-06,no_es_como_se_describe
419,10900,2023-12-09,ya_no_lo_necesita
420,10919,2022-08-12,no_es_como_se_describe
421,10922,2022-12-13,articulo_incorrecto
422,10950,2023-05-03,no_es_como_se_describe
423,10953,2024-01-07,no_es_como_se_describe
424,10961,2022-07-16,articulo_incorrecto
425,10966,2022-10-15,no_es_como_se_describe
426,11002,2023-05-07,defectuoso
427,11021,2023-07-05,ya_no_lo_necesita
428,11096,2022-12-03,ya_no_lo_necesita
429,11105,2023-09-06,defectuoso
430,11121,2023-12-30,no_es_como_se_describe
431,11127,2022-09-23,no_es_como_se_describe
432,11162,2023-10-25,no_es_como_se_describe
433,11187,2022-08-23,ya_no_lo_necesita
434,11198,2023-07-08,articulo_incorrecto
435,11204,2022-10-22,articulo_incorrecto
436,11210,2023-10-05,ya_no_lo_necesita
437,11236,2023-09-20,articulo_incorrecto
438,11275,2022-05-01,no_es_como_se_describe
439,11303,2023-07-08,ya_no_lo_necesita
440,11306,2022-06-06,articulo_incorrecto
441,11337,2023-05-13,articulo_incorrecto
442,11340,2023-04-30,defectuoso
443,11344,2023-05-30,defectuoso
444,11347,2023-11-01,articulo_incorrecto
445,11363,2022-11-30,ya_no_lo_necesita
446,11371,2022-10-10,defectuoso
447,11416,2023-12-31,defectuoso
448,11418,2024-01-06,articulo_incorrecto
449,11448,2022-05-25,defectuoso
450,11456,2023-08-08,defectuoso
451,11476,2023-09-08,no_es_como_se_describe
452,11496,2023-07-04,ya_no_lo_necesita
453,11531,2023-06-11,no_es_como_se_describe
454,11542,2021-06-18,ya_no_lo_necesita
455,11555,2023-12-07,no_es_como_se_describe
456,11672,2023-03-12,defectuoso
457,11790,2021-07-11,ya_no_lo_necesita
458,11791,2021-07-14,ya_no_lo_necesita
459,11893,2021-08-01,ya_no_lo_necesita
460,11896,2022-07-28,defectuoso
461,11913,2021-08-23,no_es_como_se_describe
462,11916,2023-07-15,articulo_incorrecto
463,11935,2023-11-30,no_es_como_se_describe
464,11940,2022-05-05,articulo_incorrecto
465,11969,2023-06-27,ya_no_lo_necesita
466,12024,2022-12-19,articulo_incorrecto
467,12063,2023-10-09,defectuoso
468,12064,2023-10-09,defectuoso
469,12081,2023-11-05,defectuoso
470,12144,2021-12-03,articulo_incorrecto
471,12208,2023-11-11,no_es_como_se_describe
472,12234,2023-09-20,articulo_incorrecto
473,12237,2022-04-05,articulo_incorrecto
474,12252,2023-05-17,defectuoso
475,12309,2022-07-29,no_es_como_se_describe
476,12310,2022-08-03,articulo_incorrecto
477,12337,2022-12-15,defectuoso
478,12343,2023-01-13,ya_no_lo_necesita
479,12349,2023-05-07,ya_no_lo_necesita
480,12362,2022-12-06,no_es_como_se_describe
481,12376,2023-12-21,articulo_incorrecto
482,12383,2023-02-06,no_es_como_se_describe
483,12399,2021-06-22,defectuoso
484,12402,2023-06-04,no_es_como_se_describe
485,12448,2023-03-21,defectuoso
486,12501,2023-11-07,articulo_incorrecto
487,12571,2022-01-14,ya_no_lo_necesita
488,12576,2023-05-02,defectuoso
489,12629,2023-03-07,no_es_como_se_describe
490,12649,2023-10-11,defectuoso
491,12666,2023-08-12,defectuoso
492,12674,2023-11-29,defectuoso
493,12716,2023-04-27,defectuoso
494,12718,2023-05-01,no_es_como_se_describe
495,12721,2023-08-02,articulo_incorrecto
496,12765,2022-11-18,ya_no_lo_necesita
497,12767,2022-11-21,defectuoso
498,12781,2023-12-18,no_es_como_se_describe
499,12811,2023-07-12,articulo_incorrecto
500,12823,2022-06-19,no_es_como_se_describe
501,12826,2023-06-28,defectuoso
502,12853,2022-08-24,ya_no_lo_necesita
503,12938,2022-11-26,no_es_como_se_describe
504,13002,2023-04-17,defectuoso
505,13008,2023-06-25,ya_no_lo_necesita
506,13010,2023-05-06,ya_no_lo_necesita
507,13050,2023-07-14,articulo_incorrecto
508,13054,2023-12-30,ya_no_lo_necesita
509,13068,2023-12-05,no_es_como_se_describe
510,13079,2023-07-21,ya_no_lo_necesita
511,13080,2023-07-17,articulo_incorrecto
512,13101,2023-11-15,no_es_como_se_describe
513,13106,2023-06-07,defectuoso
514,13108,2023-06-13,no_es_como_se_describe
515,13113,2023-07-18,articulo_incorrecto
516,13151,2021-08-05,defectuoso
517,13164,2023-12-21,ya_no_lo_necesita
518,13165,2023-12-13,no_es_como_se_describe
519,13215,2023-03-19,defectuoso
520,13218,2022-11-29,defectuoso
521,13219,2022-09-03,articulo_incorrecto
522,13229,2023-05-16,defectuoso
523,13230,2022-07-20,no_es_como_se_describe
524,13234,2023-05-31,articulo_incorrecto
525,13273,2023-06-22,articulo_incorrecto
526,13278,2022-09-23,articulo_incorrecto
527,13282,2023-08-22,ya_no_lo_necesita
528,13306,2023-05-13,defectuoso
529,13387,2023-04-23,ya_no_lo_necesita
530,13473,2023-11-03,no_es_como_se_describe
531,13518,2023-11-08,defectuoso
532,13535,2023-12-20,defectuoso
533,13555,2023-06-08,defectuoso
534,13577,2023-10-21,articulo_incorrecto
535,13627,2023-03-22,defectuoso
536,13685,2023-09-02,ya_no_lo_necesita
537,13691,2023-10-19,no_es_como_se_describe
538,13826,2022-02-20,ya_no_lo_necesita
539,13862,2023-09-15,articulo_incorrecto
540,13947,2022-05-05,no_es_como_se_describe
541,13955,2023-12-13,articulo_incorrecto
542,13962,2022-10-11,no_es_como_se_describe
543,13979,2023-12-18,ya_no_lo_necesita
544,14048,2023-04-29,no_es_como_se_describe
545,14066,2022-06-28,articulo_incorrecto
546,14100,2022-08-28,no_es_como_se_describe
547,14136,2024-01-06,articulo_incorrecto
548,14153,2023-08-27,defectuoso
549,14170,2022-12-23,ya_no_lo_necesita
550,14185,2023-09-15,no_es_como_se_describe
551,14196,2023-09-12,ya_no_lo_necesita
552,14214,2024-01-06,no_es_como_se_describe
553,14247,2021-11-18,ya_no_lo_necesita
554,14270,2022-12-23,no_es_como_se_describe
555,14390,2023-10-13,defectuoso
556,14450,2022-12-05,defectuoso
557,14539,2023-02-22,ya_no_lo_necesita
558,14549,2023-04-26,defectuoso
559,14565,2023-05-05,no_es_como_se_describe
560,14654,2023-05-26,ya_no_lo_necesita
561,14745,2023-02-14,no_es_como_se_describe
562,14779,2023-02-14,no_es_como_se_describe
563,14800,2023-12-26,defectuoso
564,14809,2021-11-22,articulo_incorrecto
565,14816,2023-10-02,ya_no_lo_necesita
566,14841,2023-01-17,ya_no_lo_necesita
567,14846,2024-01-03,no_es_como_se_describe
568,14939,2023-10-13,articulo_incorrecto
569,14956,2023-07-27,no_es_como_se_describe
570,14963,2023-02-18,articulo_incorrecto
571,14972,2022-05-18,defectuoso
572,14978,2023-06-22,defectuoso
573,14979,2023-06-28,articulo_incorrecto
574,14983,2023-11-10,ya_no_lo_necesita
575,14997,2023-05-23,ya_no_lo_necesita
576,14999,2023-06-27,articulo_incorrecto
577,15013,2021-03-17,articulo_incorrecto
578,15035,2023-03-30,no_es_como_se_describe
579,15044,2022-09-28,articulo_incorrecto
580,15115,2023-07-27,ya_no_lo_necesita
581,15165,2023-11-01,ya_no_lo_necesita
